Start hr:min:sec,End hr:min:sec,Transcription,Annotation,Layer,Index
0:01:19,0:01:23,GA: Yes… I think I was.,,,
0:01:23,0:01:27,CS: This is your left hand?,,,
0:01:27,0:01:40,"GA: This was in a cast so it's a little more wrinkled. But why don’t you read my right hand since that’s what I am now? They’re very different, no?","Two approaches to dealing with handedness. Lieberman reads one hand, Diaghilev reads both hands and comapares them, Sandoval reads both hands as well.",,Health and Body
0:01:40,0:01:52,CS: Well the thing is that whichever hand you use is the hand that is the manifestation of your life as you're living it.,How does this compare to how Diaghilev evaluates the two hands?,,"Instructional, Palmistry"
0:01:52,0:01:54,GA: mmhmm I’m right-handed.,,,
0:01:54,0:02:36,"CS: Your left hand, or your other hand--the hand that you use less--is a reflection of the potentials and the dynamics that you needed to work out in this life. For example, let's say it's your left hand. What’s written on your left hand is the markings of your spirit, the things that your spirit needed to work out, the things that your spirit wanted to work out. It’s a marking of the progression you’ve made up until this point–your spirit has made up until this point. The markings on your right hand, or the hand that you use the most, is the marking–marks the progression that you’ve made in this life.",Talk about handedness and common approached to dealing with handedness.,,"Instructional, Palmistry, Past Lives"
0:02:36,0:02:39,GA: Okay do it on the left.,,,
0:02:39,,CS: Left being what you came in with…,,,
,,GA: Yes,,,
0:02:44,0:02:46,GA: And this is what I am now.,,,
0:02:46,0:02:52,CS: Okay…,,,
0:02:52,0:03:26,"CS: Um…okay. You have the hands of someone who has many different kinds of strengths and powers. It’s not as if you are only a philosopher, or only an artist, or only a worker, but you have a potential. You have all kinds of energies running through you. Different kinds of potentials pulling you in many different directions.",This would be a good place to list the many hats that Anzaldua wore in her lifetime.,,Character
0:03:26,0:03:37,"GA: Yes, they do pull. [laughs]",,,
0:03:37,0:04:13,"CS: Um, you came into the world with a spirit-self that was very emotional–that required, that very much needed to have an emotional dependence on the family that it was raised with. I mean there was like something that you needed to work out. You had known about emotional dependence with the family to be raised with. There’s something there that you needed to work out. Previously you have been emotionally dependent, and there had been a lot of trauma and anguish, you might say.",,,"Family, Past Lives, Self-Definition"
0:04:13,0:04:14,GA: Previous to this lifetime?,,,
0:04:14,0:04:45,"CS: Previous to this lifetime. And your relationships with your family in your early childhood are…were such that there was stuff that, you know, you needed to work out.",,,Family
0:04:45,0:04:53,"GA: See, I think there was a whole lot of stuff between me and my mother, me and my father.",,,Family
0:04:53,0:06:32,"CS: And…that in this lifetime instead of there being the kind of, hmm…let’s say, the anguish of your early life, emotional life, affected your life and affected your health in the past. In this life you were able to make some kind of breaks away from your sibling, your life, your mother, your father, your sisters your brothers your uncles your aunts, those that you were raised with as a child. You have made breaks of…. They have forced you–or– you have become more independent. Um, you..it was like a forcible…through an act of will you have been able to become more independent as I’m reading this. See but this…I wonder if I should be reading this in this manner… See your fate line is coming in here. Now if we were reading your hand the other way around, I would say that– See my mother knows how to do this better than I do.",,,"Body and Health, Family, Self-Definition, Fate Line, Instructional"
0:06:32,0:06:33,GA: You’re doing fine!,,,
0:06:33,0:06:42,"CS: Okay well, your fate line shows on your right hand--Is this your right hand?",,,Fate Line
0:06:42,0:06:43,GA: Yes.,,,
0:06:43,0:06:50,CS: It shows an independence of will you might say.,,,"Self-Definiton, Character"
0:06:50,0:06:53,"GA: mmhmm, I’m very willful.",,,Character
0:06:53,0:08:18,"CS: But your left hand shows even more of an independence of will. And not only that, it shows that you have had a destiny that has affected the lives of many other people up until this point. And it looks like this is right at the point that you’re at right now. I mean, I don’t know which hand is the present hand, you know what I mean, cause you say you’re ambidextrous. Um- it's so weird. This hand is so weird 'cause, um...it shows--this shows a very strong will power. A very strong creation of one’s own destiny. Not like, if this line here were coming from this side here and coming up like mine does, this shows a life that is very much determined by other people. The whims of others or the desires of others–that sort of thing, But this shows a creative willpower–act of will which is carving out your destiny. And it also shows a destiny which is um…. Which is having a great influence on other people’s lives. I mean this is about, shows the life of [inaudible] Someone in their thirties, late thirties. But this…",Compare this to the Diagilev comparison.,,"Self-Definiton, Character, Relationships, Instructional"
0:08:18,0:08:22,GA: So you think this might be…,,,
0:08:22,0:08:24,CS: What you came into the world with.,,,
0:08:24,0:08:25,GA: And this is what I’ve made of it?,,,
0:08:25,0:08:29,CS: mmhmm,,,
0:08:25,0:08:29,[inaudible] GA and CS are talking at the same time.,This cross-talking is evident throughout this recording. Cross-talking as an indicator of friendship among Chicanas/Latinas.,,
0:08:29,0:08:44,"GA: Well, the way that, the last person that read my palm, she had me go like this and she says that the left hand predominates so this is the one that you read now and this is what I came in with.",,,
0:08:44,0:08:45,CS: Shall we do it that way?,"Here, both women show their investment in the precision of technique, while also showing flexibility in its application to uncover knowledge.",,
0:08:45,0:08:47,GA: Okay.,,,
0:08:47,0:09:35,"CS: Okay, so if we do it that way, it shows that you had, let’s see…that you have an independence of spirit. You came in with more of an independence of spirit, although stuff to work with your–you had stuff to work out with your family that you came into the world with, but that there was this independence of spirit there. You had not lived a kind of life which had had a great effect on the lives of other people. Maybe you had been doing growth in your own on yourself, so now in this life you have had a very emotionally heavy relationship with your mom and your dad.",,,"Character, Self-Definition, Healing?, Family"
0:09:35,0:09:37,GA: Yes. Very heavy.,,,
0:09:37,0:09:50,"CS: I mean even more so, you have not been able– you have a very emotionally dependent relationship with those that you were raised with, let’s say that.",,,Family
0:09:50,0:09:51,GA: Sí,,,Language
0:09:51,0:10:04,"CS: And at the same time, you have developed a great destiny. You, through an act of will, you have created that destiny on your own.",,,
0:10:04,0:10:15,"GA: Wow! That’s what I was told by a German, uh, Russian woman who read my palm about seven years ago, she says I am creating my own destiny.",Anzaldua may be referring to a reading with Tamara Diaghilev [mp3 #59].,,Palmistry
0:10:15,0:10:26,"CS: Wow. That’s really neat. And not only that you have created a destiny that has had an effect on other people’s lives, but anyway…a lot of people.",,,
0:10:26,0:10:27,GA: My students,,,Teaching
0:10:27,0:10:30,CS: mmhmm,,,
0:10:30,0:10:32,GA: But it stopped?,"Something really interesting here that echoes the Diaghilev reading, where Anzaldua shows awareness/suspicion of her limits as a teacher. This might be an entry point into talking about the letters from students, as well as incorporating the quote form the Arriba piece about the pressure put on her to be a perfect God-Mother.",,
0:10:32,0:10:43,"CS: No, it hasn’t stopped, it just hasn’t come into its full– your line’s always change. That’s why it's good to get your palm read occasionally because the lines are always changing.",,,"Palmistry, Instructional"
0:10:43,0:10:46,GA: I have my prints in my journal.,"According to the finding aid: ""At the request of author and by agreement with the Anzaldúa Literary Trust, Anzaldúa's personal journals and scrapbooks are closed to researchers until January 2026.""",,Writing
0:10:46,0:10:49,CS: Great!,,,
0:10:49,0:10:50,GA: So this line will be growing?,,,Instructional
0:10:50,0:11:08,"CS: mmhmm. Mine goes this way and then that way and a little this way. I’m gonna have different transitions in my life. You have a lot of travel lines in your life, in your hand already these things here, these are all travel lines.","Here, and throughout the recording, Sandoval answers Anzaldua's question by using her own palm as an instructional aid. This dynamic also appears in Anzaldua's palm reading by Tamara Diaghilev [mp3 #59], where Anzaldua asks about the pragmatics of palmistry throughout the reading, and Diaghilev illustrates concepts by comparing her own palm to Anzaldua's.",,"Instructional, Travel"
0:11:08,0:11:17,GA: You think I’ll be traveling for the rest of my life?,,,Travel
0:11:17,0:11:41,"CS: Looks like there’s a lot of travel lines in here….these lines coming up here, I’m not sure how to read them.",,,Travel
0:11:41,0:11:45,GA: Are they worry lines?,,,
0:11:45,0:11:57,"CS: These come in sideways in here where nervous tension lines. And you know, you show that you have a very sensuous nature.",,,"Instructional, Character"
0:11:57,0:12:09,GA: mmhmm [laughs],,,
0:12:09,0:12:13,CS: And that you can be a bit stubborn. Or at least you came in a bit stubborn.,,,Character
0:12:13,0:12:16,GA: I can be very stubborn. I’m trying to loosen up.,,,Character
0:12:16,0:12:33,"CS: Yeah, you have been able to develop your intellect. You have a long and deep head line. It’s not…in this hand it’s less…",,,"Head line, Intellect/Intelligence?"
0:12:33,0:12:34,GA: Developed?,,,Head line
0:12:34,0:12:45,"CS: No, it's very developed in this hand, but it's a little more developed in this hand.",,,Head line
0:12:45,0:12:54,"GA: See, I have a very intellectual part of me which I think is probably dying down. I think I’m becoming more intuitive, relying more on [inaudible]",,,
0:12:54,0:13:06,"CS: You have the psychic cross in the middle of your hand. In this hand. And then this one’s not quite as developed, but here you’ve got it",Diaghilev pointed out her Mystic Cross as well.,,"Instructional, Mystic Cross"
0:13:06,0:13:08,"GA: And what is this cross, here?",,,Instructional
0:13:08,0:13:26,"CS: That’s a blessing over, um, you have a couple of protected–this is a blessing…this is a blessing-but I don’t remember what-you’ve got the blessing on this hand– on this finger, but not here. But here you’ve got it on –I think one is creativity and I don’t know what the other is.",Describe what blessings look like on the hand.,,"Creativity, Talent"
0:13:26,0:13:32,GA: I think this is truth and…isn’t it power? The Saturn finger?,Describe the planetary significance of the fingers.,,Saturn Finger
0:13:32,0:13:47,CS: Could be. Um…the traveling could affect your health if you’re not real careful.,,,"Travel, Body and Health"
0:13:47,0:14:01,"GA: Yeah, yeah cause what I do is I wear myself out and then I go home and I’m sick for a week.",Anzaldua dealt with chronic illness throuhgout her life.,,"Travel, Body and Health"
0:14:01,0:14:09,CS: And it doesn’t look like anything serious.,,,
0:14:09,0:14:17,GA: Well what is this thing here? This space here? Is that anything?,,,Instructional
0:14:17,0:14:48,"CS: Well it looks to me that your destiny line has–is connects up with another line which is kind of a protection. See, this line up here, and these lines that come here, they kind of protect and help. These are lines of protection around your ??? Which you sort of need right here, cause these travel lines seem to cross over your destiny line and meet up with your life line a little bit",Describe destiny line and significance,,"Instructional, Destiny Line, Travel, Travel Lines, Life Line"
0:14:48,0:14:53,"GA: And look at all these lines here, isn’t that…",,,
0:14:53,0:15:05,"CS: The way your destiny is affecting your life, but also there might be some ??? all of this is nervous energy lines crossing over your ???",,,"Destiny Line, Life Line"
0:15:05,0:15:11,"GA: I think this is the healthiest I’ve been, though. I used to be…",,,Body and Health
0:15:11,0:15:19,CS: You have a good health line–you don’t have–,,,"Body and Health, Health Line"
0:15:19,0:15:29,GA: Okay and the health line is this right? Which is the health line?,,,"Health Line, Instructional"
0:15:29,0:15:39,"CS: Yeah, this must be it, here. It’s kind of an unusual constitution, but it’s not one that is going to detrimentally affect your life, unless the travel–",,,"Instructional, Body and Health, Travel"
0:15:39,0:15:41,GA: Why is it unusual?,,,Instructional
0:15:41,,CS: Because you know it’s interesting because it comes up and it's connected to this blessing you have here. I think that’s the creativity. And it comes up– ‘cause usually the health line begins here.,,,"Creativity, Health Line"
,,"GA: Si, yeah this is creativity and this is the finger of Apollo so this would be creativity. This is communication. Mercury. No?",,,"Creativity, Finger of Apollo, Mercury, Astrology?"
,,CS: mmhmm,,,
,0:16:14,GA: So maybe my blessing is in creativity.,,,Creativity
0:16:20,,CS: You um you have some stuff to work out about…in your–you came into this world with a knowledge about love but you weren’t really able to completely love. Give yourself in love and receive in love. But you had a pretty clear knowledge of what love was about but not really a complete ability to give or to receive in love.,,,Relationships
,,GA: It’s hard for me to receive,,,Character
,,"CS: Mmhmm so that was what you came in as, with. But in this life you’ve had a lot of. This life, or what you came in with, you didn't come in with a lot of trauma about love. You know you pretty much knew [GA: mmhmm] what love was about, you just, for some reason, hadn’t really acted to out its potential. [GA: mmhmm] The knowledge of your potential. [GA: mmhmm] Potential of your knowledge and after that the potential of your knowledge. This hand shows that you haven’t had an easy life when it comes to love. You’ve had some sort of traumas about love. But somehow these traumas have done several things. One is that you sometimes may have kind of a romantic idea about what love is about. You may tend to romanticize [GA: [giggling]] your love, lover, or potential lover [GA: Si] So that you may be thinking of them more in an imagistic kind of way, because you’re romanticizing them so much.",,,"Realationships, Sexuality"
,,GA: Si,,,
,,CS: So that’s one thing that this--,,,Instructional
,,GA: I also have--I also want perfectness.,,,Character
,0:18:43,"CS: mmhmm That’s what that tends to do. This is what this trauma in your experiencing of love has done, it’s–for one thing, it's given you this tendency to romanticism in love. And",,,Realtionships
0:18:46,,GA: What is this break?,,,Instructional
,,CS: I see it as being another direction possible for you,,,"Destiny?, Fate?"
,,GA: [ahh!] So in the heart line there’s another direction so that that means like maybe lesbian? No?,,,"Heart Line, Lesbianism, Sexuality"
,,CS: I don’t know. I see it as,,,
,,GA: I mean that’s probably something else,,,
,,"CS: I see it as a potential to experience. A potential to be able to have a deep loving connection with another human being or with people in general, but it’s not quite actualized yet, it's like more of a potential. And it has to break from this romanticism stuff, because the romanticism stuff keeps you, will keep you distant from people. And this other line here shows another direction that you have in you to act out and it shows like the come up real high. See how it’s kinda comin up in there?",,,"Relationship, Instructional"
,,GA: mmhmm,,,
,,CS: This coming in between these two fingers shows an ability to love in a complete way in a realistic way.,,,Instructional
,,"GA: Oh. so this line in the heart line that goes off, that is in romanticism? And the one that curves between the Jupiter and Saturn finger is the one that is the more complete, more whole one?",,,"Heart Line, Jupiter Finger, Saturn Finger"
,,CS: mmhmm,,,
,,GA: Hmmm!,,,
,,CS: And I think a healthier kind of love. And see how it’s kind of coming in here but it's not quite actualized yet.,,,
,,GA: mmhmm,,,
,,"CS: So, that’s probably something that you're working on now. [long pause] The romanticism stuff I think may give you a tendency to be kind of narrow-minded about some things.",,,Character (maybe think about character differently; question what is fixed/mutable within this paradigm.
,0:21:00,GA: [laughs],,,
0:21:00,,CS: But your psychic-self keeps you broad-minded. This bridge is a kind of bridging here that keeps you is keeping you broad-minded but that’s kind of–is a tendency in you to be kind of narrow-minded,,,Character
,,GA: I’m very stuffy and narrow-minded and picky about the people that I want to be lovers with and stuff.,,,"Character, Relationships, Sexuality"
,,"CS: Hmm! So maybe that’s what’s showing up here. You have some relationship lines coming in here. See it looks like one towards the end of your life that’s that’s a marriage it looks pretty good, and then another one in the middle of your life that looks…that’s all there already in marked in your hand.",,,"Relationship, Love Line, Futurity, Instructional, Marriage Lines"
,,GA: hmm…Wow,,,
,,"CS: This one in the end of your life looks like it’s a real positive, ""up"" relationship, and the other one looks like you go through a lot of shit together.",,,Relationships
,,"GA: Yeah, I think this line must be me and Randy. We had real hard times. This one. I don’t know who the other one is.",,,Relationships
,,CS: You haven’t met them yet.,,,
,,GA: So there’s only two lines?,,,Marriage Lines
,,"CS: Well, there could be more coming in. The lines are always changing, you know? More come, some come, some go.",What is the logic behind changing lines in palmistry? Do they represent or influence?,,"Instructional, Palmistry"
,,GA: And what are the ones that are like this?,,,Instructional
,,CS: I don’t really know how to read those. They’re not good enough to discern which things mean stuff and which things don’t. I think that’s all that I can do.,,,
,0:23:02,GA: That’s very good.,,,
0:23:02,,"CS: Let’s see the other one just one more time. This is what we decided you were born with, huh?",Comparing Anzaldua's hands for the third time.,,
,,GA: Yes.,,,
,,"CS: This one shows that you haven’t traveled as much. That you were more sure of yourself, but maybe almost…",,,Travel
,,GA: Arrogant?,,,Character
,,"CS: Lacksadaisical in your approach to life. And you know things were more or less simple. Clearcut. Black and white. You know?for you. And that your health wasn’t as good–physically. That your attitude toward life, maybe your kind of indolence caused you to be lazy about your health and that may have affected your life, but it didn’t really affect your ability to love or your–the way you thought about things. Things were pretty clear, black and white. You did some traveling. You still had a blessing around your creativity and you were a very sensuous person. But you have done a lot of growing in this life if you read it this way. I think you should.",,,"Character, Body and Health, Relationships, Creativity, Self-Definition"
,,GA: Yeah I think so too.,,,
,0:25:47,"CS: And um you know, you’ve done a lot more traveling. You've chosen to come into a family where there would be a lot of complicated issues for you to deal with. It’s enabled you to love a great deal more and in more complexity, but you still have a lot of stuff to work out about love. You have more of a capacity to love now than you did before. But that’s still something you’re kind of stopped at. You are much stronger–you’ve been forced to develop a willpower that enables you to go beyond yourself, and it's caused you to have a lot of experiences which are going to affect every aspect of your life but you have a very strong mind and will power. And actually your health is much better, your constitution, because of the changes that you’ve made in your life and family. And you’ve got the psychic cross in the middle of your palm which tells us that you’re psychic.",,,"Travel, Family, Relationships, Intellect, Body and Health, Self-Definition, Mystic Cross"
0:25:48,,GA: What about a Girdle of Venus?,Describe the Girdle of Venus,,Girdle of Venus
,,CS: My mom knows about Girdles of Venus. I don’t think you have a Girdle of Venus. Do you think you have one?,,,Girdle of Venus
,,GA: I don’t either. But I–I don’t either.,,,
,,CS: I almost bought a palmistry book in the store. I’ve never read a palmistry book so I don’t know.,,,
,,GA: You just learned from your mama?,,,
,0:26:38,"CS: Just listening to her like Rose is probably gonna be able to do this cause she’s heard me do it so many times I bet she’s picking up on how to do it. But you know, I didn’t think I knew how to do it I just kinda started getting interested in what people’s palms were like cause I saw my mom doing it, so I’d say can I see your palm, and I’d just look and they’d say, well what do you see what do you see? And I thought I don’t know how to do it, I was just interested in what it looked like. But um, I’d have to get a palmistry book and study up on this cause you've got some designs in here that I don’t know how to read.",Embodied knowledge,,Instructional
0:26:41,,"GA: And also, there are all these crosses and stuff, you know?",,,
,,CS: mmhmm. I think these all have to do with traveling.,,,Travel
,,GA: But you know these wrinkles have gotten bigger cause I remember when I discovered this was communication and this was creativity they weren’t that long.,,,"Creativity, Communication"
,,CS: But you’ve definitely got a blessing on your creativity. Both sides.,,,
,,GA: That’s like an X?,"Around this point, Anzaldua starts looking at Sandoval's hand. This occurs in the reading with Diaghilev as well.",,
,,"CS: mmhmm. It’s there… Here, it's even more definite. Really definite here.",,,
,,"GA: Someone told me that if this curves in like this, that you’re a lesbian.",Mentioned by Diaghilev in #59,,"Lesbianism, Instructional"
,0:27:41,CS: Oh really? I hadn’t heard that before.,,,
0:27:43,,[inaudible; a woman speaking loudly],,,
,,GA?: What is that sound?,,,
,,"CS: It’s the tape recorder going. Oh, it’s somebody walking by outside. There are lines connecting.",,,"Instructional
Media Awareness"
,,"GA: See this thing coming down, let me see your other hand. No, instead of curving down it curves up.",,,Instructional
,,CS: This may be stuff coming up.,,,
,,"GA: I don’t know, it's just someone told me that. You’ve got lots of creativity. No? What are these?",,,Creativity
,,"CS: Yeah, that’s a big X.",,,
,,"GA: Y aqui? Communication. What is this big X, you have it over here, too.",,,Communication
,,"CS: Yeah, same thing.",,,
,,GA: Did your mother tell you?,,,
,,"CS: It’s communication. No, uh uh. But I had a lot of stuff to work out about love. And…",,,Relationships
,,GA: Well this–,,,
,,CS: mmhmm. I came in with a good mind but my intellect is not as developed in this life as I had the potential to have it be.,,,Intellect
,,"GA: I think its very developed, no?",,,
,,"CS: Well, I mean because of the work I do it forces me to think but actually I had kind of a traumatic childhood. See I have these nervous energy lines that come up past my life line. And they cross my head line and make this island here and continue over and cross my heart line and reach up to my health line here.",,,"Head Line, Heart Line, Health Line (is health line different from life line?)"
,,GA: And these are all nervous lines?,,,Nervous Lines?
,,"CS: This is a nervous energy line that crosses all the way over here, and it makes an island here which shows a type of insanity that occurred, and I think that affected my ability–my intellectual abilities–because this line is not as long as it is on my other hand. On my other hand it comes all the way to here. It stops here. And it’s also not clear, and that break in it–see how yours is clear and straight? That shows that you can think clearly. So I had some damage here in my life that I have to overcome. And here, you can see some of the stuff around my heart.",,,"Intellect, Instructional, Heart Line"
,,"GA: Bueno, and this is your health line?",,,Health Line
,,CS: Mmhmm,,,
,,GA: It’s so straight. So straight…,,,
,,"CS: I know, but it's not good that it's there. The less of a health line you have, the better off you are. Which line, which hand is this? Your right hand?",,,Health Line
,,GA: This is my right hand. What I came into the world with.,,,
,0:30:48,CS: And this is your left hand. See–you have all this protection stuff around your life line and you have a very small health [inaudible] but here you’ve got a definite health line [inaudible]. See this shows that I have kind of a delicate,,,Health and Body
0:30:48,0:30:48,[tape stops] End of Track 1,Side A,,
0:00:00,0:00:00,Start of Track 2,Side B,,
0:00:05,0:00:21,"CS: Anyway, you can see the trauma in the early part of my life that was centered around my heart. But that now I’ve been able to clear up a lot of that pain and hurt. And in fact it's given me a great capacity to feel love and compassion for other people.",,,"Heart Line, Relationships"
0:00:21,0:00:38,"GA: Bueno. What about um, like someone told me that I was blocking because my hands are knobbed de aqui? That I was blocking certain things. And when people, when palm readers tell you to do like that, what does that mean?",Discussing the significance of hand shape,,"Instructional, Palmistry, Hand Shape"
0:00:38,,"CS: They wanna see the shape of your fingers and of your hand [yawns] every hand tells you something like, I mean what your hand and fingers tell me is that you have a lot of different capacities for different–you have a lot of different potentials for your energies to go in different directions. You don’t have to be an artist, you don’t have to be a writer, you don’t–you could be a teacher. You could be a mathematician. You could be a worker with your hands. You could work in a cannery. You could–there’s a lot of different things that you are capable of doing. You're not stuck in any one.",,,"Hand Shape, Career, Success"
,,GA: Right.,,,
,,[Crosstalking],,,
,,CS: There were a lot of things that you could have done and done well. Taken care of and…,,,Career
,0:01:33,GA: I used to work a lot with my hands. I worked in a cannery. I have been a seamstress. I have done another craft. I have been a secretary.,,,Career
0:01:33,,"CS: I think that’s what this tells. But [yawns] this knobbiness, I have to check. I’ll ask my mom. I have kind of something like that. And also my. This one. Feel how big that knuckle is right there. The other side…",,,Hand Shape
,,"GA: Oh, si.",,,
,,"CS: It goes fat that way. The other one goes fat the other way. And also my fingers are crooked, like not as much as yours, but they still have that crookedness.",,,Hand Shape
,,"GA: Well it means something that your Apollo finger curves toward the Saturn. I mean, that means something.",,,"Instructional, Apollo Finger, Saturn Finger"
,,CS: Mmhmm. Yeah all that means something but I don’t know how to do that kind of detailed really.,,,
,,"CS: [pause] See on this hand, I had the potential to have great health in this lifetime. I don’t have hardly any health line at all. But the way I’m living is such that I’m bringing the health line here. So that’s just a warning that I have to watch out for my…",,,"Instructional, Health and Body"
,,GA: For your health?,,,
,,"CS: Mmhmm. Wow, I’m able to love a lot more in this lifetime than I was before. And less romantically sort of like you. You’re moving in that direction. But at the cost of my intellectual development. So maybe that’s why I’m working on that now.",,,"Heart Line, Relationships"
,0:03:50,GA: With Rosa? Maybe you have to balance the two. I’m very interested in what happens to this line. The emotional… [long pause],,,Heart Line
0:03:50,,"GA: Thank you! Thank you, thank you, thank you, that was great!",,,
,,CS: De nada,,,
,,GA: Cause you told me stuff nobody else had told me like about the romantic stuff and all that. Nobody had ever said anything about my emotional–my heart line.,,,Heart Line
,,"CS: Huh, that’s funny",,,
,,GA: I had heard the stuff about the fate. But I hadn’t heard anything about the emotional stuff.,,,Emotional Life
,,CS: That’s why I wanted that woman to read our palms when we went there to Long Island.,,,
,,GA: Well she’s still there!,,,
,,"CS: Yeah, but all she did–she doesn’t read palms like I do, she was like this, and then she just does a psychic reading. She doesn’t actually read the lines. Which is a different kind of",,,Psychic
,,GA: Right and she was also taking cards out,,,Tarot
,,CS: So she probably started out with tarot and then just uses the hands as a way of,,,"Tarot, Palmistry"
,,"GA: Well she looked at my hand and she said that my lover-ooh- that his name started with an N, I said oh it’s not a his–it’s not a he, it's a she. So she says A or a B, those are their names.",,,"Relationships, Sexuality, Lesbianism"
,,"CS: Who was that? Remember she said that kind of thing to me too. I wish I would have remembered. She said when I went back, I was gonna get involved with some….",,,
,,GA: Didn’t you get involved with Vivian? Or was that before?,,,
,0:05:19,"CS: We were trying to see if it meant Vivian and it was like–but anyway she didn’t do this kind of palm reading, which I’m still looking for a good palmist to read my hand.",,,
0:05:19,0:05:19,[tape stops],,,
